micros,ax,ay,az
0,-2240,-716,-22960
999,-2720,-452,-23192
1999,-2968,-256,-23436
2999,-2596,-396,-24020
3999,-2708,-532,-24796
4999,-2932,-732,-25284
5999,-2980,-612,-26068
6999,-2692,-436,-26336
8000,-2764,-576,-26144
8999,-3208,-496,-25804
9999,-3220,-492,-25416
10999,-3040,-596,-25416
11999,-2948,-364,-25460
12999,-3160,-432,-25640
13999,-2956,-472,-25748
14999,-2652,-316,-25600
15999,-2620,-376,-25244
16999,-2884,-300,-24856
17999,-2932,-200,-24316
18999,-2800,-376,-23848
19999,-2680,-460,-23784
20999,-2848,-488,-23912
21999,-2780,-624,-24076
22999,-3016,-668,-24288
23999,-3208,-1148,-23896
24999,-2908,-1304,-23956
25999,-2468,-788,-24376
26999,-2424,-244,-24952
27999,-2656,340,-25188
28999,-2500,256,-25224
29999,-2228,-504,-24704
30999,-2328,-516,-23348
31999,-2348,-532,-22132
32999,-2196,-492,-21348
34000,-1812,-600,-20536
34999,-1740,-1020,-20288
35999,-1356,-888,-19596
36999,-984,-232,-18656
37999,-1012,312,-17544
38999,-1088,348,-16480
39999,-1068,-308,-15856
40999,-644,-1016,-15488
41999,-476,-1216,-15564
42999,-428,-828,-15648
43999,-276,-164,-15660
44999,-88,140,-15588
45999,48,-152,-15140
46999,-20,-748,-14816
47999,36,-1068,-14756
48999,376,-1004,-14544
49999,516,-436,-14508
50999,512,4,-14200
51999,660,60,-13800
52999,1008,-272,-12920
53999,1140,-848,-11988
54999,1068,-1196,-11080
55999,1288,-608,-9960
56999,1488,-136,-9156
57999,1712,184,-8388
58999,1964,-16,-7708
60000,2284,-652,-7144
60999,2488,-852,-6568
61999,2440,-720,-5976
62999,2320,-316,-5512
63999,2668,88,-5188
64999,2784,-124,-5104
65999,2768,-560,-5228
66999,2860,-724,-5624
67999,3020,-856,-5892
68999,3144,-452,-6132
69999,2932,-124,-6200
70999,2876,-148,-6144
71999,2948,-220,-6072
72999,3072,-420,-6076
73999,3044,-672,-6124
74999,3016,-496,-6012
75999,3200,-388,-5720
76999,3232,-288,-5404
77999,3212,-236,-4884
78999,3184,-540,-4464
79999,3184,-568,-3868
80999,3164,-456,-3528
81999,3124,-552,-3384
82999,3212,-412,-3688
83999,3188,-308,-3840
84999,3224,-356,-4088
85999,3168,-204,-4608
86999,3388,-64,-5096
87999,3636,320,-5748
88999,3048,608,-6188
89999,2316,208,-5816
90999,2232,-412,-5612
91999,2652,-1320,-5772
92999,2500,-1588,-6364
93999,2124,-756,-7488
94999,2084,112,-8464
95999,2452,512,-9176
96999,2208,128,-9504
97999,1696,-844,-9536
98999,1456,-980,-9524
99999,1568,-672,-9712
100999,1272,-200,-9960
101999,1112,72,-10564
102999,1348,-228,-11460
103999,1504,-668,-11996
104999,1096,-728,-11844
105999,588,-812,-11704
106999,616,-344,-11672
107999,428,20,-11976
108999,180,-364,-12688
109999,36,-628,-13688
110999,364,-668,-15112
111999,260,-556,-15924
112999,-348,-360,-16244
113999,-560,-196,-16648
114999,-496,-464,-16776
115999,-772,-564,-17056
116999,-1216,-696,-17960
117999,-1196,-496,-18780
118999,-864,-388,-19756
119999,-956,-420,-20244
120999,-1448,-456,-20580
121999,-1672,-604,-20540
122999,-1580,-584,-20372
123999,-1740,-356,-20344
124999,-2004,-436,-20672
125999,-1896,-500,-21196
126999,-1732,-484,-21948
127999,-1840,-544,-22332
128999,-2216,-472,-22568
129999,-2272,-484,-22404
130999,-2300,-568,-22320
131999,-2536,-480,-22460
132999,-2744,-448,-22808
133999,-2576,-504,-23468
134999,-2416,-384,-24192
135999,-2532,-572,-24744
136999,-2672,-476,-25208
137999,-2628,-448,-25024
138999,-2740,-484,-24808
139999,-3016,-408,-24756
140999,-3016,-596,-25028
141999,-2800,-584,-25392
142999,-2672,-432,-25780
143999,-2660,-304,-25980
144999,-2644,-236,-25764
145999,-2528,-184,-25140
146999,-2520,-472,-24272
147999,-2680,-452,-23476
148999,-2620,-440,-23024
149999,-2484,-476,-22736
150999,-2688,-616,-22776
151999,-2900,-1060,-22656
152999,-2616,-1552,-22540
153999,-1940,-1072,-22680
154999,-1876,-376,-22996
155999,-2464,320,-22956
156999,-2404,408,-22748
157999,-1920,-432,-22684
158999,-1752,-964,-22084
159999,-2272,-784,-21540
160999,-1912,-344,-21228
161999,-1436,-176,-21052
162999,-1412,-700,-20544
163999,-1564,-1196,-19968
164999,-1376,-908,-19200
165999,-872,-176,-18284
166999,-932,320,-17680
167999,-1128,104,-17200
168999,-632,-680,-17036
169999,-256,-1156,-16824
170999,-312,-992,-16200
171999,-472,-572,-15624
172999,-148,140,-14936
173999,124,56,-14132
174999,60,-532,-13808
175999,88,-836,-13716
176999,500,-1104,-13816
177999,876,-628,-13756
178999,772,-64,-13356
179999,580,-168,-12488
180999,980,-288,-11872
181999,1180,-628,-11276
182999,1128,-1036,-10912
183999,1116,-576,-10572
184999,1580,-192,-10344
185999,1756,-76,-9980
186999,1680,64,-9592
187999,1756,-460,-8864
188999,2072,-880,-8224
189999,2236,-744,-7612
190999,2100,-556,-7124
191999,2252,-72,-6880
192999,2532,76,-6772
193999,2712,-252,-6520
194999,2568,-476,-6224
195999,2528,-740,-6064
196999,2784,-628,-5832
197999,2756,-236,-5508
198999,2604,-128,-5432
199999,2848,-68,-5644
200999,3028,-356,-5776
201999,3148,-656,-5868
202999,3008,-428,-5844
203999,3000,-244,-5808
204999,3088,-200,-5580
205999,2884,-108,-5360
206999,2864,-500,-5280
207999,2988,-708,-5260
208999,3124,-652,-5680
210000,2996,-676,-6032
210999,2916,-280,-6192
211999,2920,-152,-6204
212999,2836,-312,-6080
213999,2800,-336,-6164
214999,3020,-388,-6472
215999,3384,44,-6716
216999,3128,588,-6904
217999,2432,480,-6684
218999,2112,-140,-6064
219999,2528,-1136,-5636
220999,2624,-1860,-5600
221999,2060,-1136,-6188
222999,1948,-76,-7280
223999,2332,572,-8280
224999,2312,520,-8812
225999,1828,-596,-9160
226999,1492,-1240,-9364
227999,1460,-1028,-9696
228999,1316,-372,-10168
229999,936,300,-11088
230999,1120,148,-12008
231999,1172,-584,-12868
232999,1036,-928,-13320
233999,572,-1008,-13328
234999,312,-588,-13252
235999,288,60,-13328
236999,52,20,-13724
237999,116,-260,-14456
238999,272,-628,-15332
239999,240,-832,-15800
240999,-104,-472,-16088
241999,-456,-168,-16024
242999,-548,-232,-16016
243999,-736,-408,-16180
244999,-848,-572,-16716
245999,-1064,-592,-17588
246999,-928,-352,-18520
247999,-924,-292,-19244
248999,-1144,-356,-19692
249999,-1232,-328,-19832
250999,-1504,-592,-20164
251999,-1588,-536,-20336
252999,-1808,-368,-20816
253999,-1936,-440,-21512
254999,-1740,-356,-22172
255999,-1712,-504,-22616
256999,-1896,-584,-22672
257999,-2156,-468,-22736
258999,-2208,-520,-22592
259999,-2272,-468,-22324
260999,-2452,-388,-22408
261999,-2356,-488,-22780
262999,-2248,-560,-23260
263999,-2304,-544,-23304
264999,-2324,-528,-23416
265999,-2332,-508,-23328
266999,-2300,-592,-23204
267999,-2492,-592,-23212
268999,-2508,-388,-23228
269999,-2432,-456,-23700
270999,-2332,-520,-24116
271999,-2224,-516,-24316
272999,-2316,-548,-24508
273999,-2208,-280,-24136
274999,-2340,-284,-23844
275999,-2264,-432,-23540
276999,-2384,-420,-23180
277999,-2404,-572,-22920
278999,-2260,-668,-22820
279999,-2476,-720,-22772
280999,-2756,-1100,-22236
