micros,ax,ay,az
0,9896,1528,-1156
1000,10416,1536,-1176
2000,10248,1472,-1044
3002,9840,1360,-952
4002,9904,1300,-976
5002,10000,1372,-948
6001,10096,1328,-1012
7000,10264,1460,-996
8001,10800,1708,-892
9001,11140,1720,-972
10001,10716,1512,-1220
11001,10636,1308,-948
12002,10744,1332,-1164
13001,10796,1428,-1140
14002,11116,1632,-952
15001,11608,1840,-884
16001,11488,1748,-984
17001,11340,1596,-1048
18001,11596,1680,-968
19001,11712,1776,-1076
20001,12120,1828,-992
21002,12460,1812,-828
22001,12484,1672,-864
23002,12340,1808,-940
24001,12576,1836,-872
25000,12952,1916,-992
26000,13452,2060,-776
27000,13432,2044,-776
28001,13260,1964,-824
29001,13588,1952,-804
30000,13920,2036,-784
31001,14236,2108,-672
32000,14420,2128,-704
33001,14588,2084,-768
34000,14852,2136,-808
35001,15148,2244,-776
36002,15216,2180,-728
37001,15404,2272,-600
38002,15692,2316,-652
39001,16048,2304,-708
40002,16300,2432,-544
41002,16508,2336,-588
42000,16576,2344,-556
43001,16880,2584,-548
44001,17208,2568,-472
45001,17492,2564,-504
46001,17648,2576,-576
47002,17872,2640,-532
48001,18196,2644,-552
49002,18432,2672,-524
50001,18532,2808,-388
51000,18904,2844,-216
52000,19200,2828,-360
53000,19444,2944,-480
54000,19632,2896,-368
55002,19788,2956,-344
56002,19992,3040,-404
57002,20444,3068,-428
58001,20664,3124,-388
59000,20844,3128,-340
60001,21016,3212,-292
61001,21228,3220,-256
62001,21508,3232,-296
63001,21668,3372,-252
64002,21900,3380,-284
65001,22152,3332,-128
66002,22348,3324,20
67001,22492,3416,-16
68001,22656,3496,-136
69001,22888,3532,-124
70001,23104,3532,-104
71001,23260,3604,-152
72001,23376,3572,-56
73002,23560,3632,156
74002,23752,3680,140
75001,23900,3676,204
76002,24012,3836,132
77002,24248,3804,104
78001,24328,3888,104
79001,24500,3964,160
80001,24688,3928,32
81001,24732,3880,108
82000,24868,3872,100
83002,24976,3936,220
84000,25080,4004,232
85000,25104,4052,280
86001,25208,4100,220
87001,25232,4156,212
88002,25412,4124,324
89002,25480,4152,240
90000,25592,4116,316
91001,25520,4096,212
92001,25528,4104,308
93002,25588,4220,456
94002,25628,4208,416
95000,25636,4152,292
96000,25640,4200,436
97000,25584,4264,384
98002,25656,4248,244
99002,25640,4288,452
100000,25636,4324,464
101001,25644,4412,440
102002,25572,4428,444
103002,25432,4360,508
104001,25428,4312,576
105001,25424,4296,524
106002,25396,4260,428
107002,25268,4204,464
108001,25116,4328,532
109001,24956,4316,616
110002,24844,4196,512
111002,24772,4236,512
112000,24656,4228,352
113000,24564,4336,392
114002,24520,4356,388
115002,24360,4328,544
116001,24228,4396,480
117001,24012,4376,388
118002,23888,4204,548
119002,23752,4208,544
120000,23628,4112,568
121000,23412,4160,416
122002,23356,4228,468
123001,23236,4300,540
124002,23012,4264,540
125002,22824,4268,536
126000,22632,4244,468
127001,22348,4160,540
128002,22120,4120,464
129002,21912,4072,456
130001,21844,3936,536
131001,21500,3992,608
132002,21288,3956,420
133002,21092,3928,456
134001,20832,3948,384
135001,20616,3872,448
136002,20508,3804,352
137002,20236,3856,372
138001,20028,3736,268
139002,19780,3692,276
140002,19520,3688,408
141000,19188,3664,320
142001,19024,3628,372
143002,18772,3588,448
144000,18464,3620,460
145000,18348,3700,400
146002,18148,3688,408
147002,17904,3620,348
148001,17504,3560,236
149001,17364,3512,312
150002,17216,3452,260
151002,16856,3368,224
152000,16544,3264,228
153000,16232,3288,272
154002,16108,3332,112
155002,15852,3288,80
156001,15544,3176,208
157001,15340,3140,164
158002,15208,3156,88
159002,14980,3140,24
160000,14692,3020,20
161001,14536,2980,116
162002,14376,2992,144
163000,14184,2980,72
164001,13928,2904,-68
165002,13640,2768,-28
166002,13452,2724,-24
167001,13228,2768,-40
168002,12932,2668,-156
169002,12756,2804,-184
170001,12540,2688,-220
171001,12468,2580,-224
172002,12256,2668,-200
173002,12112,2572,-208
174001,11964,2444,-248
175002,11904,2488,-344
176002,11680,2496,-320
177001,11476,2444,-176
178002,11412,2384,-248
179002,11168,2404,-312
180001,10944,2356,-336
181002,10848,2368,-276
182002,10736,2308,-420
183001,10572,2364,-416
184002,10460,2300,-360
185002,10392,2236,-332
186001,10212,2292,-264
187002,10244,2260,-204
188002,10120,2280,-340
189001,9968,2172,-412
190002,9880,2132,-292
191002,9948,2100,-292
192001,9828,2104,-396
193002,9756,2156,-352
194002,9732,2156,-336
195001,9636,2140,-368
196002,9616,2156,-436
197002,9660,2052,-348
198001,9636,2088,-240
199002,9756,2224,-180
200002,9692,2120,-276
201001,9716,2200,-248
202002,9792,2220,-168
203002,9712,2112,-236
204001,9648,2164,-292
205002,9596,2108,-268
206002,9672,2132,-352
207001,9780,2156,-312
208002,9856,2148,-228
209002,9968,2164,-168
210000,10044,2184,-88
211002,10124,2240,-228
212002,10252,2348,-172
213001,10312,2304,-120
214002,10352,2252,-140
215002,10432,2272,-112
216001,10492,2316,-208
217002,10592,2368,-160
218002,10772,2432,-64
219001,10848,2520,28
220001,11032,2504,176
221002,11124,2516,84
222002,11276,2548,148
223001,11300,2564,144
224001,11496,2576,180
225001,11640,2640,184
226002,11796,2620,224
227001,11908,2628,288
228001,12000,2680,328
229002,12168,2640,528
230002,12260,2680,540
231001,12496,2760,456
232001,12744,2848,544
233002,12888,2904,552
234002,13088,2844,480
235000,13288,2888,700
236001,13540,2924,716
237002,13692,2956,508
238002,13840,2980,676
239000,14076,3012,848
240001,14288,3080,860
241002,14424,3120,776
242000,14636,3192,756
243001,14944,3120,876
244002,15144,3276,736
245002,15280,3368,940
246001,15536,3304,948
247002,15728,3308,968
248002,15868,3388,1048
249001,16152,3460,1072
250002,16412,3424,1072
251002,16552,3464,1228
252001,16716,3524,1160
253002,16848,3620,1148
254002,17196,3608,1192
255001,17368,3592,1492
256002,17648,3672,1504
257002,17740,3728,1644
258001,17740,3728,1644
259002,17904,3704,1488
260002,18184,3828,1580
261001,18392,3940,1752
262002,18492,3892,1636
263002,18764,3812,1680
264001,18880,3920,1796
265002,19112,3956,1932
266002,19236,3912,1916
267001,19484,4040,1976
268002,19612,4084,1992
269002,19616,4044,2084
270001,19812,4180,2164
271002,20064,4188,2156
272002,20168,4120,2224
273000,20356,4112,2064
274000,20664,4204,2000
275002,20728,4312,2140
276002,20768,4276,2212
277000,20940,4308,2156
278001,21072,4240,2184
279001,21268,4228,2132
280002,21388,4280,2188
281002,21428,4336,2292
282001,21596,4296,2464
283001,21692,4284,2428
284002,21828,4316,2296
285002,21980,4328,2280
286001,22016,4396,2484
287001,22156,4380,2472
288002,22304,4356,2428
289002,22412,4320,2396
290001,22460,4416,2360
291002,22428,4424,2356
292002,22468,4404,2524
293001,22524,4416,2556
294002,22488,4372,2412
295002,22472,4340,2572
296001,22584,4396,2500
297001,22504,4424,2340
298002,22600,4428,2396
299002,22712,4472,2460
300001,22736,4444,2572
301002,22720,4352,2564
302002,22716,4324,2488
303001,22596,4216,2524
304002,22640,4180,2500
305002,22624,4256,2564
306000,22532,4324,2484
307001,22364,4216,2472
308002,22360,4228,2564
309000,22376,4272,2500
310001,22328,4216,2496
311002,22292,4124,2548
312002,22136,4100,2348
313001,22144,4088,2364
314002,22112,4164,2396
315002,22052,4132,2384
316000,21964,4140,2216
317001,21792,4112,2100
318002,21708,4068,2112
319002,21556,3992,2196
320001,21504,3872,2336
321001,21424,3848,2224
322002,21320,3916,2020
323002,21112,3932,2168
324001,21000,3868,2156
325001,20888,3884,2184
326002,20668,3776,2008
327002,20604,3816,2008
328001,20468,3800,1812
329002,20296,3852,1868
330002,20108,3616,1796
331001,19868,3584,1732
332002,19692,3628,1752
333002,19524,3576,1768
334001,19320,3560,1596
335002,19160,3444,1776
336002,19052,3412,1832
337001,18832,3284,1656
338002,18780,3368,1624
339002,18532,3292,1412
340001,18264,3196,1592
341001,18148,3168,1424
342002,17900,3244,1284
343002,17636,3152,1276
344001,17544,3092,1312
345001,17272,3112,1244
346002,16980,3140,1160
347002,16820,3144,1152
348000,16748,3072,1068
349000,16540,3000,968
350002,16376,2952,904
351002,16156,2888,1012
352001,15920,2860,1100
353001,15732,2868,912
354002,15488,2776,880
355002,15220,2736,848
356001,14944,2740,632
357002,14728,2700,584
358002,14644,2696,628
359001,14588,2608,656
360002,14384,2488,512
361002,14156,2496,408
362001,14052,2460,372
363002,13908,2488,420
364002,13688,2456,232
365001,13324,2260,292
366001,13200,2320,376
367002,13048,2296,336
368002,12880,2228,188
369001,12680,2240,228
370001,12512,2288,132
371001,12392,2184,52
372002,12256,2184,56
373002,12208,2168,-56
374001,11972,2156,-64
375001,11952,2012,-12
376002,11884,2100,20
377002,11660,1980,68
378000,11480,1984,100
379002,11336,2028,84
380002,11112,1868,-144
381001,10984,1968,-172
382002,10900,1844,-168
383002,10792,1900,-232
384001,10680,1880,-204
385002,10560,1812,-244
386002,10628,1820,-320
387001,10588,1716,-308
388002,10484,1696,-200
389002,10480,1784,-168
390001,10452,1716,-336
391002,10224,1708,-312
392002,10180,1724,-236
393001,10168,1676,-240
394002,10176,1636,-296
395002,10152,1648,-328
396001,10080,1668,-308
397002,10088,1604,-332
398002,10160,1656,-380
399001,10168,1584,-400
400002,10132,1596,-504
401002,10200,1644,-556
402001,10160,1660,-464
403002,10236,1636,-484
404002,10312,1740,-488
405001,10288,1704,-460
406002,10308,1620,-352
407002,10360,1596,-408
408001,10456,1692,-480
409002,10488,1760,-408
410002,10612,1676,-456
411001,10708,1672,-516
412002,10792,1772,-500
413002,10832,1744,-448
414001,10988,1756,-312
415002,10988,1720,-356
416002,11052,1720,-280
417001,11128,1788,-368
418002,11332,1700,-304
419002,11492,1772,-280
420000,11628,1900,-296
421002,11644,1924,-272
422002,11748,1964,-364
423001,11888,1868,-412
424002,12128,1900,-436
425002,12292,1904,-428
426001,12456,1964,-280
427002,12540,1868,-220
428002,12812,1884,-200
429001,12980,1876,-140
430002,13080,2024,-196
431002,13252,2044,-148
432001,13364,2048,-152
433002,13592,2068,-176
434002,13828,2068,-104
435001,13948,2136,-128
436002,14144,2128,-80
437002,14380,2172,12
438000,14564,2232,36
439001,14792,2260,-36
440002,15040,2392,-148
441001,15200,2420,-24
442001,15348,2492,108
443002,15512,2464,12
444002,15876,2432,8
445000,16024,2516,-52
446001,16204,2556,-60
447002,16436,2576,88
448002,16684,2652,92
449001,16836,2712,112
450002,17116,2728,200
451002,17424,2760,52
452000,17616,2844,-88
453001,17788,2752,24
454002,18016,2820,76
455002,18244,2812,4
456001,18460,2824,52
457001,18708,2892,124
458002,18836,2948,180
459002,19096,3032,252
460001,19244,3032,268
461001,19500,3040,296
462001,19624,3076,352
463000,19812,3124,392
464001,20008,3192,424
465002,20216,3036,400
466002,20408,3132,296
467001,20532,3204,284
468002,20736,3164,400
469002,20952,3304,408
470001,21208,3480,296
471002,21380,3432,536
472002,21448,3428,548
473001,21560,3552,392
474002,21768,3524,296
475002,21984,3488,384
476000,22136,3512,608
477001,22276,3644,452
478002,22464,3664,384
479000,22560,3756,504
480001,22624,3848,460
481002,22836,3748,468
482002,23032,3792,496
483001,23056,3708,512
484001,23100,3840,328
485002,23356,3916,364
486002,23532,3980,380
487001,23664,3880,448
488001,23600,3884,516
489002,23632,3936,504
490002,23776,3920,456
491001,23924,4004,436
492002,23916,3968,468
493002,24064,3956,384
494001,24172,3924,428
495001,24092,3996,468
496002,24056,3920,516
497002,24164,3872,452
498001,24156,3968,516
499002,24260,3976,456
500002,24288,4008,552
501001,24284,4064,584
502002,24244,4024,576
503002,24292,4040,516
504000,24232,4088,488
505002,24140,4040,428
506002,24180,4168,312
507001,24196,4196,416
508001,24124,4088,504
509002,24016,4172,544
510002,23984,4184,320
511000,23960,4156,312
512001,23796,4172,384
513001,23840,4180,432
514002,23744,4220,360
515002,23660,4088,400
516001,23540,4196,420
517001,23440,4212,372
518002,23400,4252,332
519002,23260,4252,256
520001,23068,4232,256
521001,23080,4264,196
522002,23000,4264,128
523002,22876,4128,228
524001,22728,4080,232
525001,22644,4120,252
526002,22392,4084,136
527002,22304,4012,116
528001,22192,3972,132
529001,21980,3996,68
530002,21880,4052,24
531002,21700,3932,8
532000,21464,4016,100
533001,21360,3988,160
534002,21268,3876,-40
535002,21028,3908,-128
536001,20760,3876,-196
537002,20556,3828,-100
538002,20324,3832,-120
539001,20188,3740,-16
540002,19924,3772,-24
541002,19804,3720,-44
542001,19704,3700,-156
543002,19460,3600,-88
544002,19280,3656,-56
545001,19080,3536,-28
