micros,ax,ay,az
0,17220,1612,180
1000,17256,1564,196
1999,17328,1492,196
2999,17200,1564,176
4001,17216,1592,12
5001,17288,1552,84
6001,17308,1544,164
7000,17308,1512,100
7999,17224,1540,24
8999,17300,1524,104
10000,17216,1452,156
11000,17232,1500,92
11999,17260,1540,156
13001,17188,1540,252
14001,17340,1508,260
15001,17312,1460,152
16000,17208,1428,100
17000,17228,1516,160
18000,17308,1540,252
18999,17304,1568,204
20001,17288,1492,156
21001,17312,1456,256
22001,17292,1376,304
23001,17204,1468,236
24001,17256,1480,368
24999,17284,1500,184
25999,17236,1572,308
26999,17248,1412,412
27999,17352,1356,336
28999,17240,1508,292
30001,17300,1392,304
31001,17328,1440,400
32001,17304,1468,284
33001,17248,1532,448
34001,17268,1528,396
35000,17296,1512,348
36000,17300,1416,372
37000,17320,1496,560
37999,17304,1456,564
39001,17436,1436,488
39999,17376,1508,472
41001,17368,1448,528
41999,17300,1444,600
42999,17244,1428,604
44000,17320,1420,496
45000,17264,1324,536
46000,17296,1384,536
47000,17392,1380,604
48001,17344,1448,520
49001,17356,1396,500
49999,17376,1356,620
51001,17332,1348,556
52000,17304,1316,628
53001,17264,1384,756
54001,17272,1396,724
55000,17352,1440,580
56000,17328,1300,620
56999,17256,1344,600
57999,17376,1364,740
59000,17400,1400,796
59999,17400,1352,760
60999,17272,1372,796
62001,17372,1304,704
63000,17368,1296,692
64000,17368,1392,788
64999,17356,1404,636
66000,17280,1408,764
67000,17284,1360,776
68000,17336,1340,728
69000,17336,1308,880
70000,17292,1300,860
71000,17316,1296,956
72001,17416,1276,976
73001,17360,1348,864
74001,17396,1360,864
75000,17376,1372,844
76001,17284,1364,728
77000,17340,1364,824
77999,17288,1348,912
79001,17308,1300,1068
79999,17340,1260,880
81001,17408,1352,1044
82001,17412,1400,1124
83000,17336,1384,1056
84000,17288,1344,892
84999,17248,1272,940
86000,17332,1392,1036
87000,17296,1460,972
88001,17236,1348,992
89001,17280,1384,1096
89999,17288,1368,1064
