micros,ax,ay,az
0,14032,4904,140
999,13776,4868,-4
1998,13744,4828,-148
2998,13564,4832,-8
3999,13360,4776,-52
4999,13140,4656,-108
5998,12916,4588,-92
6998,12720,4528,-64
7999,12492,4412,-180
8999,12404,4396,-152
9998,12260,4448,-48
10998,12128,4312,-136
11998,12008,4244,-304
12998,11800,4176,-220
13998,11664,4188,-280
15000,11408,4216,-100
16000,11352,4040,-180
17000,11108,4044,-168
17999,10972,4020,-240
18999,10884,3996,-340
19998,10744,3968,-204
20998,10704,3888,-304
22000,10452,3784,-368
22998,10320,3804,-468
23999,10216,3768,-476
24999,10224,3676,-452
25998,10044,3628,-412
26998,9856,3680,-416
27998,9824,3592,-560
29000,9840,3604,-444
29999,9628,3552,-508
30999,9500,3588,-500
31998,9484,3456,-640
32998,9412,3456,-548
33999,9408,3456,-624
34999,9384,3516,-532
35998,9268,3436,-584
36998,9160,3348,-484
37998,9020,3324,-460
38998,9100,3372,-472
39998,9008,3288,-532
41000,8968,3360,-456
41998,8992,3288,-520
42998,8924,3352,-568
44000,8900,3332,-512
44998,8852,3204,-448
46000,8916,3356,-508
47000,8808,3308,-408
48000,8784,3296,-452
48998,8896,3348,-516
49999,8924,3452,-428
50999,8912,3352,-436
51998,9044,3400,-504
52998,9044,3400,-552
54000,9064,3472,-600
54999,8948,3420,-480
55998,9060,3364,-480
56998,9148,3364,-500
57998,9252,3352,-512
58999,9328,3440,-536
60000,9208,3556,-516
60999,9404,3540,-428
61999,9372,3636,-388
62998,9488,3628,-428
63998,9612,3680,-292
64998,9760,3676,-436
65998,9872,3644,-448
67000,9944,3788,-536
68000,9980,3664,-372
69000,10080,3808,-280
69999,10248,3824,-288
70999,10332,3876,-376
71998,10408,3908,-324
72998,10596,4008,-308
74000,10664,4028,-36
74998,10892,4104,-48
75999,10928,4180,-124
76999,11128,4172,-12
77998,11264,4268,68
78998,11320,4336,-56
80000,11332,4428,-176
80999,11568,4368,-132
81998,11724,4412,-112
82998,11868,4432,-44
83999,12100,4468,168
85000,12100,4568,272
85998,12364,4660,192
86998,12600,4792,272
87999,12804,4720,192
88999,13012,4832,156
90000,13044,4884,204
90998,13200,4896,144
91999,13288,4852,128
93000,13500,5020,328
93998,13700,5176,456
94999,13976,5208,332
96000,14100,5248,400
96998,14264,5368,520
97998,14436,5464,680
98999,14624,5392,568
99999,14884,5452,540
101000,14996,5580,568
101998,15092,5560,612
102999,15308,5736,584
104000,15564,5736,724
104998,15684,5756,672
105999,15908,5864,840
107000,16112,5988,828
107998,16324,5960,772
108999,16380,5996,884
110000,16628,6088,948
110998,16836,6088,972
111999,17004,6232,924
113000,17132,6300,1000
113998,17416,6360,1056
114999,17608,6368,1076
115999,17704,6432,1068
116999,17952,6508,1164
117999,18128,6544,1024
118999,18236,6548,1124
120000,18488,6588,1088
120998,18584,6560,1204
121998,18732,6692,1280
122999,18992,6660,1356
123999,19216,6764,1344
124999,19256,6796,1388
125999,19500,6796,1332
126998,19712,6868,1432
127999,19804,6868,1428
129000,19980,6912,1468
129998,20096,6896,1320
130999,20256,6952,1292
132000,20372,6912,1484
132998,20516,6928,1528
133999,20716,7044,1428
135000,20844,7104,1480
135998,20916,7068,1624
136999,21064,7076,1496
138000,21112,7224,1696
138998,21296,7208,1600
139999,21520,7224,1600
140999,21620,7168,1656
141998,21676,7144,1632
142998,21824,7196,1664
143999,21920,7180,1724
145000,21952,7212,1848
145998,22016,7232,1880
146999,22180,7164,1888
148000,22260,7164,1836
148998,22404,7196,1836
149999,22440,7128,1752
151000,22520,7140,1708
151998,22716,7136,1756
152999,22760,7148,1812
154000,22764,7116,1808
154998,22912,6996,1892
155999,22964,7048,1960
157000,22864,7088,1916
157998,22948,7168,1816
158999,22968,7072,1836
160000,23052,6912,1888
160998,23072,6964,1832
161998,23080,7008,1908
162999,23104,6960,1916
164000,23108,6856,1840
164998,23092,6844,1876
165998,23116,6856,1824
166999,23028,6812,1744
167999,23144,6864,1820
169000,23184,6788,1944
169998,23188,6668,1980
170999,23040,6596,1852
172000,22964,6596,1864
172998,23004,6612,1916
173999,22964,6648,1852
175000,22992,6596,1784
175998,22836,6508,1796
176999,22784,6460,1912
178000,22808,6328,1788
178998,22696,6372,1816
179999,22604,6320,1852
181000,22548,6204,1772
181998,22444,6244,1652
182999,22424,6200,1680
184000,22324,6188,1656
184998,22164,6168,1728
185999,22108,6164,1784
187000,22112,6020,1700
187998,21920,6060,1524
188999,21708,5928,1524
190000,21572,5904,1608
190998,21544,5832,1456
191998,21496,5804,1456
192999,21428,5716,1292
194000,21232,5660,1392
194998,21124,5680,1384
195998,20968,5680,1432
196999,20888,5588,1400
198000,20656,5476,1296
198998,20600,5420,1152
199998,20432,5448,1288
200999,20292,5476,1260
202000,20164,5424,1276
202998,20028,5340,1288
203998,19856,5272,1132
204999,19708,5152,1008
206000,19520,5088,1096
206998,19316,5072,1116
207998,19180,5100,988
208999,19028,5016,968
209999,18812,5040,988
211000,18708,4924,1020
211998,18512,4844,876
212998,18308,4804,776
213999,18064,4744,904
214999,17832,4728,816
215998,17756,4688,864
216998,17576,4604,756
217999,17368,4580,632
219000,17092,4560,564
220000,16896,4560,648
220998,16768,4464,612
221998,16708,4400,512
222999,16512,4400,644
223999,16260,4416,692
225000,16052,4272,464
225998,15900,4264,476
226999,15676,4172,476
228000,15532,4084,396
228998,15320,3980,520
229999,15096,4080,388
231000,15008,4060,332
231998,14792,3888,208
232999,14572,3932,168
234000,14480,3856,216
234998,14320,3780,216
235998,14188,3804,264
236999,13952,3820,212
238000,13664,3796,176
238998,13476,3728,56
239998,13348,3732,-60
240999,13200,3660,-4
242000,13020,3640,-64
242998,12844,3612,-80
243999,12708,3520,-56
245000,12524,3448,-40
245998,12432,3440,-8
246999,12304,3356,12
247999,12204,3436,-196
248998,11996,3372,-292
249999,11732,3304,-320
251000,11616,3264,-308
252000,11460,3280,-312
252998,11392,3308,-412
253998,11184,3172,-348
254999,11060,3152,-312
256000,10996,3312,-348
256998,10912,3224,-384
257999,10712,3080,-516
259000,10680,3072,-572
259998,10612,3032,-464
260999,10424,3000,-624
262000,10276,2924,-616
262998,10132,2936,-596
263999,10124,3032,-552
265000,10096,3028,-528
265998,10012,2964,-508
266999,9916,3004,-552
268000,9820,2908,-556
268998,9708,2836,-716
269999,9704,2884,-516
271000,9628,2972,-484
271998,9516,2900,-556
272999,9528,2836,-556
274000,9496,2864,-596
274998,9480,2848,-740
275999,9412,2776,-752
277000,9360,2792,-720
277998,9416,2796,-688
278999,9316,2824,-652
280000,9352,2860,-584
280998,9388,2924,-652
281999,9240,3012,-644
283000,9284,3056,-672
283998,9260,2964,-692
284999,9316,2916,-864
286000,9428,2956,-624
286998,9292,2960,-632
287999,9332,3052,-748
289000,9344,3080,-692
289998,9468,3060,-632
290999,9592,3076,-648
292000,9628,3176,-728
292998,9636,3284,-696
293998,9704,3204,-620
294999,9792,3248,-576
296000,9768,3280,-636
296998,9940,3336,-716
297998,9980,3416,-592
298999,10084,3536,-592
300000,10108,3412,-636
300998,10216,3492,-648
301999,10360,3528,-688
303000,10460,3520,-520
303998,10516,3640,-484
304999,10704,3612,-592
306000,10864,3652,-744
306998,10948,3760,-560
307999,11108,3832,-504
309000,11172,3836,-584
309998,11152,3904,-520
310999,11292,3948,-572
312000,11504,3984,-484
312998,11660,4080,-396
313999,11764,4196,-440
315000,12000,4248,-460
315998,12104,4320,-408
316999,12276,4416,-484
318000,12352,4496,-480
318998,12580,4564,-464
319998,12696,4628,-476
320999,12916,4724,-508
322000,13032,4804,-420
322998,13192,4876,-484
323998,13304,5020,-460
324999,13508,5080,-248
326000,13764,5160,-224
326998,13928,5148,-152
327999,14056,5316,-192
329000,14168,5324,8
330000,14268,5392,-56
330998,14488,5432,-144
331999,14620,5512,-216
333000,14940,5652,-244
333998,15116,5708,-148
334998,15232,5752,-152
335998,15332,5824,-228
336999,15544,5960,-128
338000,15740,6060,36
338998,15964,6168,40
339998,16176,6232,96
340999,16380,6356,-88
342000,16628,6488,16
342998,16760,6424,224
343998,16956,6476,236
344999,17140,6596,140
346000,17348,6720,280
347000,17444,6808,240
347998,17692,6912,208
348998,17864,7000,204
349999,18060,7060,188
351000,18156,7068,240
351998,18304,7132,228
352998,18536,7304,204
353999,18784,7484,176
355000,18936,7564,200
355998,19140,7528,212
356999,19188,7568,284
358000,19228,7696,300
358998,19564,7736,548
359999,19736,7684,652
361000,19868,7800,468
361998,20000,7916,380
362999,20184,7912,368
364000,20356,7956,384
364998,20528,8032,452
365999,20616,8060,436
367000,20768,8108,544
367998,20972,8252,600
368998,21128,8236,476
369999,21296,8352,556
370999,21496,8408,508
371998,21548,8372,508
372998,21708,8468,644
373999,21724,8560,612
375000,21804,8560,628
375998,21936,8524,716
376999,22112,8584,572
377999,22248,8616,568
378998,22352,8600,604
379998,22356,8684,676
380999,22444,8776,732
382000,22604,8780,840
382998,22720,8748,792
383998,22824,8720,740
384999,22808,8696,776
386000,22876,8804,732
386998,22996,8748,784
387998,23096,8760,780
388999,23124,8792,896
390000,23196,8748,888
390998,23224,8712,740
391999,23304,8756,708
392999,23384,8764,832
393998,23416,8740,872
394999,23428,8704,912
395999,23460,8684,880
397000,23620,8616,856
397998,23668,8580,916
398999,23592,8616,732
400000,23608,8644,804
400998,23600,8620,824
401999,23540,8528,696
403000,23528,8444,760
403998,23436,8436,760
404999,23480,8412,648
406000,23412,8368,776
406998,23496,8372,884
407999,23488,8264,744
408999,23472,8268,772
409998,23440,8280,764
410999,23448,8296,804
412000,23348,8248,712
412998,23212,8156,556
413998,23184,8068,624
414999,23148,8024,780
416000,23060,7892,672
416998,23060,7832,632
417999,23008,7764,736
419000,22968,7652,776
420000,22844,7692,788
420998,22752,7668,596
421999,22640,7628,668
423000,22528,7452,724
423998,22444,7388,772
424998,22324,7440,660
425999,22248,7216,704
427000,22128,7188,676
427998,21916,7056,548
