micros,ax,ay,az
245001,-1976,-852,-26620
246001,-1912,408,-25140
247002,-2196,412,-23860
248002,-2756,-520,-23636
249001,-2200,-924,-24584
250001,-1448,-452,-25692
251002,-1708,-840,-26392
252002,-2548,-1628,-26448
253002,-2688,-1196,-26552
254000,-2260,-552,-27116
255001,-2084,-244,-27764
256002,-2276,-404,-28060
257000,-2384,128,-27888
258000,-2116,512,-27340
259001,-2328,-204,-27240
260002,-2612,-468,-27472
261002,-2064,-280,-28124
262001,-1088,32,-27988
263001,-788,-244,-26408
264002,-1084,-344,-23192
265002,-1120,328,-19176
266000,-432,12,-15476
267000,288,-996,-12404
268001,448,-1760,-9844
269000,852,-1916,-7368
270000,1792,-1440,-5312
271001,2120,-1024,-4084
272001,2024,-248,-3472
273000,2240,56,-3508
274000,2908,-88,-3416
275002,3144,-96,-2604
276002,2604,-324,-1304
277001,2096,-436,-260
278001,2344,-724,-320
279002,2768,-892,-1500
280002,2560,-232,-3208
281001,2384,272,-4804
282001,2484,476,-6032
283002,2456,328,-6632
284002,2128,192,-6580
285000,1916,168,-6136
286000,2196,-532,-5720
287001,2324,-1064,-5092
288000,1804,-940,-4176
289001,1224,-540,-3756
290002,1164,-420,-4752
291002,1380,-820,-7148
292001,1028,-640,-9880
293001,680,-468,-12380
294001,664,-492,-14692
295002,520,256,-16424
296002,-700,464,-17652
297000,-1656,-348,-18748
298001,-1868,-992,-20492
299002,-1532,-476,-22972
300002,-1668,620,-25528
301001,-2376,-108,-28076
302002,-2752,-728,-30580
303002,-2452,-304,-32396
304001,-2444,180,-32768
305001,-2972,220,-32768
306002,-2616,-440,-31784
307002,-2236,-240,-30096
308000,-2440,-276,-27452
309001,-2820,-724,-25208
310002,-2640,-1224,-24048
311000,-1880,-1296,-23836
312001,-1400,-712,-23852
313002,-1584,-620,-23856
314000,-1484,-348,-23496
315001,-940,-80,-22664
316002,-904,-52,-21504
317000,-1172,-60,-20280
318001,-1000,-560,-19012
319002,-612,-544,-17920
320000,-560,-768,-16796
321001,-940,-1220,-16104
322002,-524,-1044,-15940
323000,608,-208,-16416
324000,1360,580,-16140
325001,1340,152,-14660
326001,1380,-480,-11796
327000,1740,-384,-7928
328000,1976,-660,-4260
329002,2020,-964,-1216
330002,2416,-1224,744
331000,3216,-1044,1628
332001,3396,-516,2036
333002,2992,-416,1944
334002,2764,48,1180
335000,3084,-68,48
336001,3472,-284,-1420
337002,3108,-288,-2192
338000,2572,-392,-2588
339001,2460,-244,-2908
340001,1988,-480,-3928
341002,1232,-508,-5716
342002,1140,-68,-8192
343000,1524,-108,-11204
344001,1636,-340,-13408
345001,976,-496,-14712
346002,336,-528,-15060
347002,364,-476,-15144
348000,612,-796,-14856
349001,236,-756,-14476
350002,-112,-388,-14312
351000,-208,-84,-14520
352001,-280,-28,-15492
353002,-772,336,-17352
354002,-1236,516,-19932
355000,-1268,-344,-22436
356001,-1160,-948,-24516
357002,-1500,-436,-25748
358002,-2112,88,-26624
359000,-2320,-380,-27620
360001,-2316,-1164,-28720
361002,-2400,-504,-29816
362000,-2600,316,-30600
363000,-2576,52,-31188
364001,-2248,-536,-31568
365002,-2348,-540,-31324
366002,-2364,-128,-30388
367001,-2000,-720,-28628
368001,-1240,-1340,-25968
369002,-1000,-900,-22668
370002,-1192,-172,-19464
371001,-924,-160,-16624
372001,-396,-552,-14640
373002,-184,-308,-13492
374000,-328,-700,-12780
375001,328,-1508,-12580
376001,1136,-904,-12780
377002,1364,112,-12732
378001,1116,256,-12056
379000,1056,-728,-11288
380000,1412,-412,-10088
381001,1640,732,-8800
382001,1504,368,-7708
383000,1580,-792,-7444
384001,2312,-1544,-7168
385002,2440,-1084,-6604
386002,2268,-644,-5656
387001,2468,-856,-4520
388001,3124,-448,-3260
389002,3280,392,-1704
390002,3056,800,136
391000,2892,216,1544
392000,3044,-720,2084
393001,3028,-772,1880
394002,2556,-792,752
395002,2344,-924,-1484
396001,2648,-912,-4104
397001,2540,-520,-6524
398002,1672,72,-8560
399002,1132,16,-10464
400000,1004,-308,-12372
401001,848,-656,-14220
402002,316,-732,-15756
403002,-92,-692,-17444
404001,-72,-816,-19184
405001,-16,-316,-20744
406002,-472,352,-22024
407000,-792,848,-22848
408000,-732,676,-23368
409001,-684,-156,-22924
410002,-1172,-536,-21928
411002,-1424,-840,-21272
412001,-1304,-968,-21148
413001,-1096,-1428,-21680
414002,-1420,-1248,-22544
415000,-1660,-384,-23796
416001,-1576,56,-25372
417001,-1464,132,-26848
418002,-1724,164,-27856
419002,-1800,312,-28280
420002,-1512,-68,-28348
421001,-1432,-872,-27832
422002,-1708,-1108,-26776
423000,-1812,-708,-25596
424001,-1480,-244,-24684
425002,-1012,-200,-23660
426000,-628,8,-22200
427000,-396,544,-20372
428001,48,312,-18124
429001,432,-712,-15608
430000,388,-1808,-12840
431000,560,-2676,-10268
432002,1304,-2328,-7824
433002,2024,-980,-6664
434001,2052,204,-5736
435001,1996,444,-5120
436002,2184,768,-4952
437002,2424,1356,-4964
438001,2496,960,-4940
439001,2404,-316,-5208
440002,2716,-1372,-5412
441002,2932,-1644,-4984
442000,2496,-1196,-4292
443001,2168,-764,-3728
444002,2484,0,-3748
445002,2840,692,-4312
446000,2824,792,-4392
447000,2712,92,-4640
448001,2588,-940,-4644
449002,2560,-1552,-4432
450000,2432,-1780,-4244
451000,2072,-1668,-4544
452001,2176,-1192,-4912
453000,2176,-260,-5796
454000,1796,660,-6704
455001,1164,792,-8072
456000,956,584,-10480
457000,940,80,-13136
458001,840,-260,-15932
459002,452,-60,-18112
460002,-136,196,-19992
461000,-512,-240,-21324
462001,-1000,-968,-22068
463002,-1416,-804,-23184
464000,-1236,40,-24348
465000,-1012,-252,-25564
466002,-1240,-1212,-26416
467002,-1544,-1512,-26912
468001,-1580,-956,-26660
469001,-1588,-548,-26420
470002,-1412,-588,-26136
471000,-1196,-232,-25496
472001,-1244,444,-24672
473002,-1200,512,-23468
474002,-1408,20,-22476
475000,-1392,-592,-22132
476001,-1328,-524,-22236
477002,-788,-344,-22664
478002,-500,-408,-22788
479001,-652,-348,-22284
480001,-620,120,-21348
481002,-440,364,-20308
482000,-220,-100,-19388
483001,16,-564,-18364
484001,320,-840,-17124
485002,564,-1028,-15612
486002,724,-1368,-13704
487000,868,-1348,-11984
488000,1184,-848,-10476
489001,1508,-472,-9120
490000,1780,-672,-7624
491000,2208,-572,-5772
492001,2396,212,-4152
493001,2636,724,-2780
494000,2684,-32,-2044
495001,2716,-868,-1504
496002,2844,-564,-1324
497002,2928,332,-1416
498000,2788,352,-1864
499000,2648,-368,-2848
500001,2660,-868,-3840
501000,2500,-644,-4928
502001,2472,-776,-5760
503001,2192,-1168,-6428
504001,1904,-1128,-7060
505002,1812,-376,-7716
506002,1676,-24,-8496
507001,1496,-304,-9620
508002,1416,-396,-10696
509002,1264,-92,-11672
510001,1300,260,-12620
511001,1148,608,-13256
512002,544,296,-13872
513002,184,-520,-14404
514002,-72,-892,-14936
515001,-176,-288,-15800
516001,-348,168,-17392
517002,-504,-716,-19476
518002,-968,-1232,-21576
519001,-1160,-924,-23112
520001,-1292,-196,-24440
521002,-1612,-312,-25852
