micros,ax,ay,az
0,240,-416,-14736
1000,292,-428,-14688
2000,364,-416,-14804
3000,268,-352,-14700
4000,104,-408,-14716
4999,160,-436,-14752
5999,184,-472,-14656
6999,288,-508,-14728
7999,272,-440,-14676
8999,160,-396,-14604
9999,224,-356,-14636
10999,280,-408,-14736
12001,324,-508,-14692
13001,212,-484,-14708
14001,288,-452,-14904
15000,264,-456,-14864
16000,228,-516,-14804
17000,256,-536,-14724
18000,212,-416,-14652
19000,284,-332,-14628
20000,132,-404,-14620
21000,124,-348,-14776
22000,228,-420,-14756
23000,172,-468,-14708
24001,152,-432,-14708
25001,212,-428,-14672
26001,272,-384,-14744
27001,204,-340,-14612
28001,260,-404,-14604
29000,264,-480,-14496
30000,272,-384,-14596
31000,196,-440,-14492
32000,116,-404,-14480
33000,156,-360,-14500
34000,124,-376,-14532
35000,164,-444,-14432
36000,128,-368,-14524
37000,144,-448,-14556
38000,76,-492,-14532
39000,96,-432,-14532
40000,100,-448,-14676
41000,52,-368,-14728
42000,104,-412,-14840
43000,132,-436,-14760
44000,92,-376,-14696
45000,72,-444,-14772
46000,20,-440,-14964
47000,104,-392,-14912
48000,96,-408,-14844
49000,80,-480,-14836
50000,76,-408,-14696
51000,100,-504,-14432
52000,116,-372,-14436
53000,64,-364,-14440
54000,-4,-384,-14364
55000,72,-536,-14340
56000,116,-508,-14368
57000,64,-516,-14384
58000,88,-440,-14416
59000,64,-384,-14492
60000,112,-408,-14604
61000,16,-352,-14540
62000,52,-400,-14580
63000,36,-424,-14536
64000,84,-512,-14648
65000,92,-480,-14784
66000,-92,-380,-14824
67000,-4,-424,-14996
68001,-44,-376,-15020
69001,-60,-276,-15088
70001,-88,-484,-15168
71000,-52,-528,-15072
72000,-140,-416,-15088
73000,-224,-492,-15092
74000,-192,-464,-15108
75000,-160,-416,-15116
76000,-140,-328,-15100
77000,-164,-448,-15008
78000,-188,-404,-15024
79000,-188,-436,-15172
80000,-144,-480,-15160
81000,-164,-388,-15036
82000,-140,-408,-15008
83000,-180,-460,-14892
83999,-144,-500,-14728
85000,-112,-472,-14844
86000,-112,-460,-14844
87000,-192,-512,-14872
88000,-112,-476,-14756
89000,-92,-484,-14784
90000,-8,-380,-14732
91000,-28,-408,-14956
92000,-88,-352,-14864
93000,-72,-428,-14772
94000,-168,-472,-14768
95001,-272,-512,-14740
95999,-200,-520,-14784
97000,-76,-468,-14676
98001,-172,-448,-14628
98999,-208,-452,-14636
100000,-204,-392,-14884
101001,-192,-452,-14876
101999,-144,-496,-14892
103000,-240,-504,-14868
104001,-132,-496,-14864
104999,-96,-488,-14828
105999,-176,-428,-14924
107000,-112,-344,-14752
108000,-252,-364,-14792
109000,-216,-316,-14784
110000,-196,-340,-14828
111000,-220,-416,-14976
112000,-60,-504,-15028
113001,-172,-560,-14804
113999,-164,-508,-14780
114999,-224,-432,-14768
116000,-180,-392,-14848
117000,-208,-356,-14760
118000,-244,-340,-14684
119000,-140,-376,-14720
120000,-276,-408,-14724
121000,-216,-400,-14732
122000,-220,-364,-14800
123000,-200,-444,-14824
124000,-180,-428,-14900
125001,-232,-356,-14920
126000,-220,-344,-14800
127000,-296,-380,-14784
128000,-232,-364,-14908
129000,-292,-420,-15048
130000,-348,-496,-14988
131000,-272,-420,-14972
132000,-304,-328,-15000
133000,-296,-416,-15020
134000,-416,-488,-14824
135001,-280,-432,-14684
135999,-324,-508,-14776
136999,-272,-460,-14776
138000,-216,-424,-14728
139000,-272,-396,-14756
140000,-264,-424,-14720
141000,-284,-368,-14824
142000,-244,-380,-14772
143000,-256,-336,-14648
144001,-280,-408,-14632
144999,-228,-352,-14740
146000,-148,-432,-14744
147001,-240,-288,-14676
147999,-244,-432,-14860
148999,-208,-572,-14860
150000,-300,-440,-14888
151000,-380,-352,-14792
152000,-332,-388,-14804
153000,-352,-352,-14780
154000,-340,-432,-14804
155000,-268,-480,-14956
156001,-332,-436,-14964
156999,-344,-412,-15024
157999,-364,-464,-15036
158999,-352,-468,-14936
160000,-292,-476,-14936
161000,-232,-344,-15004
162000,-372,-388,-15028
163000,-360,-428,-14952
164000,-404,-404,-14832
165000,-416,-384,-14808
166001,-288,-372,-14780
166999,-352,-388,-14904
168000,-408,-440,-14780
169000,-352,-464,-14672
170000,-320,-460,-14664
171000,-428,-448,-14732
172000,-392,-464,-14692
173001,-392,-368,-14740
173999,-376,-424,-14684
174999,-360,-420,-14744
176000,-372,-416,-14848
177000,-412,-324,-14964
178000,-324,-284,-14848
179000,-404,-396,-14924
180000,-384,-468,-14652
181000,-280,-368,-14528
182001,-408,-428,-14480
182999,-352,-496,-14480
183999,-252,-444,-14392
185000,-256,-420,-14192
186000,-352,-396,-14264
187000,-376,-464,-14460
188000,-348,-392,-14612
189000,-360,-516,-14552
190000,-420,-440,-14632
191001,-496,-496,-14792
191999,-492,-476,-14816
192999,-436,-496,-14860
194000,-416,-420,-14924
195000,-480,-380,-14900
196000,-420,-448,-15108
197000,-424,-520,-15160
198000,-472,-488,-15104
199000,-532,-436,-15148
200000,-676,-452,-15236
201001,-612,-436,-15132
201999,-508,-512,-15152
202999,-540,-504,-15176
203999,-608,-356,-15304
205000,-512,-400,-15160
206000,-628,-396,-15220
207000,-608,-424,-15260
208000,-628,-472,-15176
209000,-644,-512,-15204
209999,-616,-408,-15180
210999,-592,-352,-15028
212000,-464,-456,-14976
213000,-480,-372,-14876
214000,-588,-412,-15004
215000,-568,-456,-15120
216000,-608,-376,-14996
217000,-572,-356,-14936
218001,-580,-412,-14996
218999,-560,-468,-14856
219999,-496,-408,-14940
221000,-496,-392,-14936
222000,-536,-424,-14776
223000,-500,-408,-14732
224000,-376,-456,-14816
225000,-496,-476,-14884
226000,-520,-488,-14732
227001,-568,-368,-14756
227999,-564,-336,-14896
