micros,ax,ay,az
0,14580,4596,24
999,14296,4420,-12
1999,13932,4328,-84
2999,13564,4228,-288
4000,13192,4188,-228
4999,12860,4028,-224
6000,12636,3984,-332
6999,12396,3868,-376
8000,12236,3724,-428
8999,12236,3724,-428
10001,11908,3704,-372
11001,11720,3660,-364
12001,11316,3616,-508
13000,10992,3352,-484
14000,10440,3124,-592
15000,10148,3076,-812
16000,9872,3052,-696
17000,9696,2992,-772
17999,9356,2892,-696
19001,9176,2920,-864
20001,9108,2808,-724
21000,8964,2716,-660
21999,8680,2656,-680
23000,8416,2572,-768
24000,7952,2532,-872
24999,7256,2336,-1032
26001,6468,2156,-1068
27001,5908,1928,-1108
28001,5512,1704,-940
29000,5244,1748,-1076
30000,4992,1688,-1240
31000,4848,1544,-1288
31999,4600,1424,-1412
33000,4412,1312,-1400
33999,4220,1308,-1456
34999,4176,1276,-1492
36001,4044,1224,-1524
37001,3996,1188,-1424
38001,3908,1144,-1448
39000,3824,1196,-1244
40000,3780,1252,-1172
41000,3912,1204,-1264
42001,3896,1320,-1208
43000,4016,1308,-1344
43999,4200,1448,-1420
45001,4260,1536,-1344
46001,4576,1512,-1340
47001,4944,1580,-1272
48000,5184,1712,-1368
49000,5700,1900,-1356
50000,6272,2040,-1272
51000,6668,2136,-1376
52000,7228,2244,-1260
53000,7660,2436,-1204
54000,8040,2632,-1132
55000,8472,2744,-1076
55999,8908,2908,-1072
57001,9112,2964,-1076
58001,9216,2992,-952
59000,9320,3008,-820
60000,9344,3060,-872
61000,9300,3132,-904
62000,9344,3172,-760
62999,9620,3204,-768
64001,9860,3252,-804
65001,10188,3380,-792
66001,10408,3524,-740
67001,10796,3544,-868
68001,10948,3544,-804
69001,11276,3632,-704
70001,11524,3596,-488
71000,11740,3696,-428
71999,11852,3848,-404
73001,12104,3900,-428
74001,12376,3956,-544
75001,12536,4008,-492
76001,12768,3960,-488
77001,13084,4104,-520
78000,13400,4180,-412
79000,13620,4292,-428
80000,13900,4360,-436
81000,14368,4360,-252
81999,14668,4344,-220
83001,15016,4516,-248
83999,15336,4524,-184
85001,15600,4604,-264
86001,15752,4780,-176
87000,16060,4976,-12
88000,16332,4932,-12
89001,16568,4984,44
90001,16712,5164,92
90999,17172,5292,64
91999,17532,5380,32
93000,17808,5384,144
93999,18256,5412,16
94999,18544,5572,96
96000,18924,5704,136
97001,19136,5672,104
98001,19384,5864,336
99000,19704,5980,348
100000,19952,6004,336
101001,20216,6048,252
102001,20416,6076,364
103000,20732,6136,304
