micros,ax,ay,az
0,8704,2444,-928
1000,8628,2432,-860
2000,8552,2432,-836
3000,8664,2428,-908
4001,8744,2400,-836
5001,8736,2488,-816
6001,8620,2540,-716
7001,8672,2528,-712
8001,8780,2512,-880
9001,8848,2484,-796
10000,8916,2584,-704
11000,9048,2700,-704
12000,9012,2812,-740
13000,9132,2672,-648
14000,9176,2684,-728
15000,9316,2760,-688
16000,9344,2880,-608
17002,9460,3036,-616
18002,9620,2992,-640
19002,9656,3024,-680
20001,9764,2976,-708
21000,9904,2996,-672
22000,9980,3136,-732
23000,10040,3184,-668
24001,10092,3180,-660
25001,10264,3292,-680
26001,10408,3316,-716
27001,10624,3368,-612
28000,10708,3376,-680
29000,10860,3516,-572
30000,11004,3556,-488
31001,11212,3708,-628
32000,11312,3688,-484
33001,11416,3708,-612
34001,11612,3848,-548
35001,11768,3992,-396
36000,11932,4028,-420
37000,12184,4080,-408
38000,12256,4156,-484
39000,12504,4280,-432
40000,12628,4304,-392
41000,12712,4376,-472
42001,12972,4524,-352
43000,13172,4516,-272
44000,13492,4580,-396
45000,13608,4652,-448
46000,13768,4860,-384
47000,14008,4896,-292
48000,14208,4984,-296
49000,14492,5104,-320
50001,14560,5188,-256
51001,14784,5308,-256
52001,15088,5336,-232
53000,15144,5452,-140
54000,15252,5560,-224
55000,15420,5740,-184
56001,15680,5772,-136
57001,15936,5876,-120
58001,16156,6016,-152
59001,16448,5988,-80
60001,16564,6152,28
61000,16880,6284,-104
62001,16980,6416,-88
63001,17184,6440,-108
64001,17320,6472,24
65000,17460,6624,124
66000,17700,6680,44
67000,17988,6832,156
68000,18192,6896,216
69002,18400,6984,276
70002,18552,7068,144
71002,18748,7220,268
72001,18948,7284,240
73000,19248,7336,228
74000,19416,7544,236
75000,19504,7488,300
76000,19648,7652,372
77000,19932,7740,212
78000,19968,7764,252
79000,20172,7872,416
80002,20512,7972,504
81001,20704,8128,340
82001,20816,8144,488
83000,20984,8344,388
84001,21188,8508,368
85000,21376,8480,612
86000,21400,8672,536
87001,21520,8600,584
88001,21672,8608,544
89001,21824,8780,460
90000,21896,8804,676
91000,22076,8852,620
92001,22260,8848,572
93001,22436,8904,512
94001,22520,9040,668
95000,22620,9180,680
96001,22840,9164,628
97001,22884,9204,628
98000,23052,9216,532
99000,23220,9356,612
100001,23304,9348,568
101001,23372,9424,752
102000,23340,9416,784
103001,23500,9464,584
104001,23644,9464,588
105000,23688,9532,600
106001,23788,9532,740
107001,23848,9556,828
108000,23928,9736,764
109001,24040,9672,660
110001,24004,9620,720
111000,24056,9616,780
112001,24104,9568,828
113001,24068,9604,632
114000,24104,9596,764
115001,24220,9532,840
116001,24216,9600,820
117000,24272,9748,904
118001,24344,9624,752
119001,24340,9616,772
120000,24188,9540,688
121001,24308,9556,792
122001,24284,9576,776
123000,24340,9500,808
124001,24260,9472,796
125001,24236,9492,764
126001,24168,9416,724
127000,24048,9396,672
128001,24088,9428,628
129001,24100,9304,672
130001,24172,9220,720
131000,24004,9236,612
132001,23900,9192,636
133002,23884,8972,692
134000,23788,9028,788
135001,23752,9008,804
136001,23620,8984,716
137000,23568,8888,820
138001,23468,8736,716
139001,23288,8728,644
140000,23240,8720,772
141000,23136,8616,784
142001,23080,8624,540
143001,22876,8484,564
144000,22764,8340,600
145000,22624,8376,832
146001,22472,8284,716
147001,22372,8184,652
148002,22240,8096,644
149000,22136,8100,484
150001,22004,7932,560
151001,21812,7928,484
152000,21776,7828,464
153001,21620,7652,516
154001,21468,7548,504
155000,21296,7548,524
156001,21068,7556,496
157001,20956,7476,304
158000,20684,7396,364
159001,20556,7356,360
160001,20444,7104,344
161000,20300,7064,428
162001,20120,7020,384
163001,19888,6876,192
164000,19648,6720,224
165000,19380,6592,240
166001,19268,6608,168
167001,19140,6540,360
168001,18988,6344,392
169001,18876,6276,404
170000,18568,6224,400
171000,18268,6244,272
172001,18096,6144,208
173001,17816,5984,172
174000,17652,5964,176
175000,17404,5828,140
176001,17224,5720,64
177001,17052,5664,-56
178000,16940,5620,240
179001,16708,5404,92
180001,16516,5312,-108
181000,16304,5308,-48
182001,16056,5196,-8
183001,15968,4984,-44
184002,15764,4924,-152
185000,15468,4896,-160
186001,15240,4932,-116
187001,15164,4736,-76
188000,14900,4632,-32
189001,14836,4524,-108
190001,14616,4556,-100
191000,14324,4384,-276
192001,14156,4348,-280
193001,13972,4272,-264
194000,13692,4264,-356
195001,13556,4188,-264
196001,13268,4132,-316
197000,13100,3996,-196
198001,12872,3936,-248
199001,12756,3840,-308
200000,12580,3812,-412
201001,12400,3836,-484
202001,12288,3692,-428
203000,12120,3628,-444
204001,11864,3576,-396
205001,11760,3476,-376
206000,11636,3488,-464
207001,11472,3408,-556
208001,11268,3324,-484
209000,11172,3392,-292
210000,11048,3324,-592
211001,10928,3308,-576
212001,10904,3268,-500
213002,10628,3184,-676
214000,10520,3020,-588
215001,10304,2996,-700
216001,10144,2948,-704
217000,10124,2996,-688
218001,10092,2956,-712
219001,9996,2844,-696
220000,9764,2808,-684
221001,9596,2836,-616
222001,9636,2808,-604
223000,9552,2724,-480
224001,9480,2680,-492
225001,9408,2664,-548
226000,9236,2660,-652
227001,9072,2644,-768
228001,9056,2660,-784
229000,9016,2604,-688
230001,9036,2616,-576
231001,8912,2640,-808
232000,8860,2552,-688
233001,8836,2528,-656
234001,8872,2580,-724
235000,8892,2492,-732
236001,8836,2480,-544
237001,8844,2516,-724
238000,8828,2488,-684
239001,8760,2428,-704
240001,8712,2448,-672
241000,8768,2556,-752
242001,8760,2512,-680
243001,8776,2448,-612
244000,8804,2544,-644
245001,8972,2496,-680
246001,8952,2596,-680
247000,9060,2608,-512
248001,9096,2612,-492
249001,9116,2568,-516
250000,9136,2608,-528
251001,9252,2540,-724
252001,9200,2568,-616
253001,9392,2608,-640
254002,9428,2616,-600
255000,9524,2672,-580
256001,9652,2644,-524
257001,9700,2580,-388
258000,9816,2708,-328
259001,9852,2756,-472
260001,10024,2772,-416
261000,10116,2884,-384
262001,10320,2836,-348
263001,10408,2876,-352
264000,10436,2940,-444
265001,10512,3028,-316
266001,10636,3072,-252
267000,10832,3216,-172
268001,10928,3128,-260
269001,11068,3116,-176
