micros,ax,ay,az
0,-644,-452,-14680
1000,-704,-476,-14664
2000,-740,-484,-14648
3000,-632,-452,-14640
4001,-660,-536,-14692
5002,-600,-428,-14692
6001,-608,-416,-14672
7001,-740,-328,-14748
8001,-664,-404,-14884
9000,-652,-440,-14736
10000,-784,-516,-14796
11000,-796,-512,-14908
12002,-596,-416,-14916
13002,-604,-492,-14952
14002,-688,-424,-14984
15000,-664,-456,-14952
16000,-616,-420,-14876
17000,-576,-472,-14848
18000,-632,-484,-14868
19002,-676,-440,-14756
20002,-716,-540,-14764
21001,-596,-404,-14636
22002,-576,-368,-14592
23001,-648,-376,-14664
24001,-632,-404,-14400
25001,-644,-468,-14380
26001,-648,-464,-14488
27001,-696,-452,-14544
28000,-608,-472,-14544
29000,-696,-500,-14548
30000,-760,-556,-14712
31001,-660,-472,-14676
32001,-652,-496,-14672
33000,-628,-384,-14672
34000,-628,-392,-14756
35000,-636,-504,-14680
36000,-724,-436,-14640
37000,-636,-504,-14624
38002,-608,-508,-14772
39002,-616,-512,-14676
40002,-636,-504,-14576
41000,-676,-456,-14496
42001,-692,-408,-14592
43002,-676,-452,-14588
44002,-604,-420,-14884
45001,-620,-456,-14704
46002,-664,-464,-14620
47001,-588,-400,-14676
48001,-672,-396,-14696
49001,-772,-460,-14608
50001,-676,-384,-14660
51001,-636,-456,-14516
52001,-644,-432,-14544
53001,-608,-352,-14620
54000,-648,-332,-14584
55000,-692,-348,-14620
56001,-716,-388,-14632
57002,-644,-376,-14568
58001,-688,-436,-14600
59001,-656,-436,-14688
60001,-640,-448,-14856
61000,-624,-468,-14656
62000,-664,-328,-14556
63000,-752,-436,-14560
64002,-776,-400,-14640
65002,-804,-388,-14724
66002,-704,-440,-14648
67000,-748,-500,-14656
68000,-776,-436,-14532
69000,-684,-428,-14548
70000,-780,-508,-14492
71002,-760,-436,-14500
72002,-588,-396,-14568
73001,-636,-456,-14676
74002,-740,-456,-14804
75001,-716,-440,-14904
76001,-736,-504,-14912
77001,-760,-568,-14864
78001,-712,-472,-14816
79001,-764,-452,-14908
80000,-700,-532,-14840
81000,-720,-372,-14728
82001,-740,-376,-14720
83001,-756,-420,-14896
84001,-784,-532,-14964
85001,-868,-500,-15032
86000,-812,-460,-15152
87000,-816,-556,-15080
88001,-912,-656,-15024
89002,-908,-616,-15000
90000,-796,-532,-14976
91000,-832,-372,-14964
92001,-736,-432,-14856
93000,-704,-548,-14876
