micros,ax,ay,az
0,724,36,-14764
1000,1412,220,-14924
2000,1620,-940,-15336
3000,1224,-1584,-15620
4000,1384,-1036,-15372
5000,1180,-316,-15376
6000,856,-924,-15708
7000,820,-1248,-16680
8000,1352,-168,-17156
9000,980,420,-17628
10000,116,-100,-18216
11000,-56,-584,-19504
12000,368,-228,-21648
13000,1308,108,-23388
14000,1676,-588,-24084
15000,1512,-784,-22780
16000,1520,-148,-19828
17000,1704,212,-15608
18000,1380,-144,-11472
19000,1708,-636,-7860
20000,2508,-312,-4836
21000,2972,-200,-2432
22000,2848,-584,-628
23000,2484,-728,-28
24000,2896,-480,-320
25000,3512,-248,-1792
26000,3732,-412,-2908
27000,3200,-268,-3828
28000,2932,156,-3936
29000,2644,292,-4176
30000,1920,-184,-5296
31000,1680,-584,-7328
32000,2036,-532,-10000
33000,2372,-484,-12668
34000,2056,-696,-14488
35000,1664,-644,-15052
36000,1380,-300,-15072
37000,1688,-28,-14348
38000,1852,-180,-12848
39000,1744,-448,-10724
40000,1588,-200,-8184
41000,1580,-224,-6088
42000,1300,-548,-5296
43000,860,-892,-6040
44000,1152,-828,-8064
45000,1388,-468,-10984
46000,1196,-412,-13460
47000,540,-408,-15268
48000,-64,-344,-16832
49000,-316,-112,-18588
50000,-600,-176,-20588
51000,-916,-588,-22480
52000,-1228,-576,-24144
53000,-1324,-492,-25712
54000,-1644,-564,-27272
55000,-1820,-740,-28588
56000,-1556,-688,-29392
57000,-908,-280,-29032
58000,-684,-256,-27220
59000,-844,-412,-24040
60000,-932,-404,-20128
61000,-764,-420,-16792
62000,-472,-508,-14540
63000,-300,-728,-13448
64000,-60,-456,-13088
65000,108,-304,-13496
66000,108,-344,-14032
67000,-124,-224,-14872
68000,-32,-204,-16200
69000,296,-36,-17076
70000,192,-288,-17296
71000,-60,-508,-16932
72000,-412,-420,-16316
73000,-472,-404,-16092
74000,-264,-420,-16496
75000,72,-456,-16820
76000,232,-212,-17008
77000,708,-84,-16204
78000,932,-396,-14320
79000,928,-376,-11768
80000,1152,-436,-8788
81000,1452,-440,-5720
82000,1800,-480,-3212
83000,1788,-380,-1356
84001,1560,-296,-368
85000,1476,-332,-548
86000,1584,-188,-2064
87000,1396,-148,-4528
88000,1260,-328,-7276
89000,1136,-436,-9608
90000,776,-420,-11228
91000,224,-312,-12336
92000,-408,-200,-13464
93000,-600,-356,-15032
94000,-608,-328,-16700
95000,-752,-316,-18188
96000,-1084,-360,-19380
97000,-1212,-344,-20204
98000,-1176,-448,-20700
99000,-1160,-660,-20568
100000,-996,-348,-19908
101000,-1020,-276,-18480
102000,-972,-592,-16760
103000,-1200,-780,-14968
104000,-1604,-720,-14036
105000,-1676,-384,-14540
106000,-1500,-580,-16196
107000,-1696,-372,-18372
108000,-2116,-336,-20716
109000,-2336,-568,-22784
110000,-2584,-384,-24728
111000,-2736,-464,-26204
112000,-2948,-404,-27336
113000,-3180,-416,-27852
114000,-3040,-484,-28120
115000,-3180,-328,-27940
116000,-3360,-460,-27596
117000,-3212,-356,-27264
118000,-2748,-296,-26808
119000,-2292,-436,-25852
120000,-2084,-288,-23896
121000,-1632,-320,-18296
122000,-1320,-288,-15432
123000,-1012,-452,-12964
124000,-852,-260,-11268
125000,-568,-372,-10352
126000,-452,-428,-10040
127000,-576,-292,-10508
128000,-472,-380,-11652
129000,-348,-256,-13104
130000,-236,-324,-14328
131000,-388,-360,-15024
132000,-592,-296,-15252
133000,-764,-396,-14916
134000,-676,-356,-14468
135000,-576,-296,-14140
136000,-556,-388,-13912
137000,-328,-336,-13716
138000,-96,-352,-13212
139000,-60,-316,-12144
140000,68,-484,-11028
141000,372,-504,-9792
142000,520,-376,-8488
143000,576,-232,-7060
144000,548,-180,-5968
145000,444,-136,-5560
146000,148,-424,-5868
147000,-168,-480,-7172
148000,-304,-440,-9536
149000,-372,-440,-12372
150000,-832,-384,-15316
151000,-1260,-344,-17704
152000,-1632,-168,-19692
153000,-1900,-304,-21420
154000,-2256,-556,-22580
155000,-2384,-480,-23508
156000,-2480,-436,-24004
157000,-2556,-448,-24236
158000,-2684,-548,-24492
159000,-2772,-516,-24520
160000,-2548,-388,-24268
161000,-2352,-636,-23664
162000,-2212,-560,-22560
163000,-2076,-424,-21172
164000,-2100,-492,-19776
165000,-2172,-440,-18740
166000,-2196,-428,-18064
167000,-2324,-372,-18220
168000,-2292,-396,-19104
169000,-2380,-500,-20516
170000,-2344,-448,-21996
171000,-2480,-412,-23448
172000,-2552,-380,-24728
173000,-2608,-428,-25424
174000,-2856,-856,-25376
175000,-2848,-1176,-24920
176000,-2604,-704,-23972
177000,-2212,-96,-23120
178000,-1984,-28,-22192
179000,-1696,-484,-21004
180000,-1532,-184,-19220
181000,-1052,-112,-17160
182000,-760,-556,-14732
183000,-544,-848,-12636
184000,-92,-592,-10384
185000,424,-368,-8216
186000,520,-448,-6704
187000,448,-412,-5800
188000,520,-104,-5568
189000,668,-204,-6368
190000,804,-328,-7616
191000,580,-260,-9076
192000,328,-196,-10816
193000,416,-208,-12128
194000,268,-212,-13012
195000,-12,-136,-13584
196000,40,-76,-13972
197000,164,-408,-13940
198000,44,-328,-13820
199000,36,-200,-13532
200000,160,-288,-12988
201000,364,-420,-12524
202000,496,-484,-12084
203000,420,-432,-11552
204000,420,-476,-10704
205000,572,-556,-10068
206000,408,-500,-9784
207000,204,-572,-10040
208000,112,-692,-10808
209000,-128,-720,-12452
210000,-300,-684,-14400
211000,-664,-552,-16488
212000,-1004,-448,-19080
213000,-1184,-508,-21248
214000,-1216,-540,-23244
215000,-1472,-488,-24604
216000,-1768,-348,-25504
217000,-1836,-212,-25820
218000,-1768,-200,-25560
219000,-1760,-220,-25108
220000,-1664,-280,-24496
221000,-1544,-388,-23680
222000,-1296,-648,-22456
223000,-1132,-600,-21056
224000,-1040,-584,-19540
225000,-792,-548,-18092
226000,-632,-572,-16736
227000,-608,-648,-15776
228000,-524,-572,-14940
229000,-348,-588,-14816
230000,-216,-564,-15048
231000,-248,-396,-15648
232000,-384,-384,-16500
233000,-224,-416,-17348
234000,-4,-308,-18080
235000,100,-24,-18360
236000,-28,-116,-18140
237000,56,-332,-17488
238000,376,-420,-16424
239000,636,-356,-14936
240000,752,-424,-13524
241000,936,-596,-11864
242000,1300,-368,-10160
243000,1596,-220,-8416
244000,1816,-464,-6788
245000,1976,-432,-5272
246000,2280,-284,-4124
247000,2384,-296,-3352
248000,2468,-492,-2900
249000,2444,-400,-2892
250000,2444,-212,-3540
251000,2204,-188,-4884
252000,2024,-172,-6328
253000,2036,-208,-8156
254000,1844,-160,-10028
255000,1828,-408,-11584
256000,1584,-556,-13020
257000,1452,-588,-13972
258000,1420,-660,-14560
259000,1304,-636,-14772
260000,1188,-636,-14748
261000,1144,-464,-14548
262000,1252,-272,-14132
263000,1268,-264,-13656
264000,1324,-256,-13276
265000,1296,-244,-13180
266000,1300,-260,-13000
267000,1248,-436,-13064
268000,1100,-556,-13200
269000,964,-636,-13952
270000,864,-636,-15028
271000,716,-672,-16036
272000,596,-748,-17588
273000,424,-588,-19196
274000,340,-488,-20800
275000,432,-380,-22204
276000,280,-344,-23236
277000,180,-344,-23680
278000,156,-400,-23776
279000,116,-448,-23464
280000,308,-540,-22388
281000,388,-528,-21160
282000,692,-536,-19788
283000,852,-524,-18148
284000,908,-568,-16336
285000,1104,-556,-14632
286000,1472,-436,-13220
287000,1688,-284,-12136
288000,1688,-352,-10936
289000,1792,-212,-10224
290000,1888,-132,-9784
291000,2144,-316,-9664
292000,2040,-368,-9644
293000,1960,-288,-9940
294000,2436,104,-10608
295000,2372,-172,-11420
296000,2144,-424,-11816
297000,2320,-320,-11804
298000,2492,92,-11528
299000,2608,-92,-11184
300000,2664,-692,-10296
301000,2584,-620,-9192
302000,2796,-280,-7988
303000,2964,-436,-6400
304000,2728,-764,-5312
305000,2748,-712,-4200
306000,3100,-344,-3312
307000,3256,-340,-2740
308000,3080,-584,-2460
309000,2880,-640,-2412
310000,2856,-516,-2876
311000,2784,-504,-3964
312000,2704,-832,-5140
313000,2488,-972,-6864
314000,2336,-652,-8844
315000,2352,-520,-10804
316000,2184,-596,-12756
317000,1836,-672,-14580
318000,1756,-464,-15948
319000,1876,-220,-17216
320000,1864,-304,-18020
321000,1768,-252,-18148
322000,1768,152,-18196
323000,1344,-84,-18140
324000,1564,-288,-17492
325000,1416,-32,-16852
326000,1168,204,-16180
327000,1264,-276,-15516
328000,1428,-676,-14820
329000,1184,-448,-15032
330000,1316,-404,-14852
331000,1216,-732,-15320
